Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.8346236559139785,0.4230769230769231,0.6749817902404109,0.5992450142450143,0.6127222148920262,0.25518215133071587
DT,0.7216129032258065,0.5096153846153846,0.5267957252087687,0.5382193732193732,0.5238988469029694,0.06348140786855377
GBM,0.8186021505376344,0.5480769230769231,0.6114432304604718,0.5627564102564102,0.5699869214735738,0.1624436449884939
KNN,0.8412903225806451,0.46153846153846156,0.5659727739816728,0.530548433048433,0.5214876205665679,0.09540082493482169
MLP,0.8640860215053763,0.7115384615384616,0.6322564969533824,0.610982905982906,0.612689458183928,0.2575313285940688
NB,0.7375268817204301,0.6826923076923078,0.6101421906453874,0.6761253561253562,0.611374741674956,0.27733170587020134
RF,0.8576344086021506,0.5,0.6086447905079719,0.5375213675213675,0.5311193933108634,0.13770025481624848
SVM,0.8576344086021506,0.5,0.4288172043010753,0.5,0.4616433324691037,0.0
xGB,0.8510752688172044,0.5865384615384616,0.6557912298429539,0.5979273504273503,0.6054102454425195,0.2404971597277923
