Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.881132075471698,0.866096866096866,0.8891219568787034,0.8805555555555555,0.8803715668495323,0.7696076664673056
DT,0.850943396226415,0.8076923076923077,0.8615207092159259,0.8502136752136753,0.8493051679176823,0.7114552444979416
GBM,0.9264150943396228,0.8846153846153846,0.9335905212512674,0.9262820512820513,0.9259805671816359,0.8598118694049697
KNN,0.7132075471698113,0.6153846153846154,0.8186711607708281,0.7131766381766381,0.6850586322715344,0.5194601297546168
MLP,0.7018867924528303,0.6574074074074074,0.717904010120308,0.701068376068376,0.6972768079698157,0.41832661295573137
NB,0.809433962264151,0.80982905982906,0.8154108336595731,0.8091168091168092,0.80782903659713,0.6244366050002712
RF,0.9622641509433963,0.9423076923076923,0.9648239582894755,0.9621082621082622,0.9621696847325723,0.9269236303519772
SVM,0.7339622641509433,0.6581196581196581,0.7377510606550148,0.7340455840455841,0.7325919094740355,0.47176258313433184
xGB,0.9509433962264152,0.9423076923076923,0.9550053769665838,0.9509259259259257,0.9507566866481074,0.9059045719127319
