Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.8317204301075268,0.5865384615384616,0.6271720488961868,0.5492236467236467,0.5563001868116069,0.1527411738793878
DT,0.7575268817204301,0.5865384615384616,0.5587541162541162,0.5565883190883192,0.5520404099978383,0.11457067187752781
GBM,0.8477419354838709,0.46153846153846156,0.5593143174956301,0.5399715099715099,0.5342895116579327,0.11062540331884792
KNN,0.8511827956989247,0.6057692307692307,0.6674078635285532,0.6006410256410257,0.613001443001443,0.25529535928527775
MLP,0.8576344086021506,0.5,0.4288172043010753,0.5,0.4616433324691037,0.0
NB,0.8380645161290323,0.46153846153846156,0.42741220403623076,0.4886752136752137,0.45584147149482906,-0.03562451366112199
RF,0.8544086021505375,0.5,0.5309139784946237,0.5168019943019942,0.4970611874513871,0.06602738582207657
SVM,0.8576344086021506,0.5,0.4288172043010753,0.5,0.4616433324691037,0.0
xGB,0.841505376344086,0.5,0.6074137931034483,0.528119658119658,0.5262616769195717,0.11299525468411882
