Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.930188679245283,0.9230769230769231,0.9404603431874543,0.9301282051282052,0.9295410964245618,0.8704720979285068
DT,0.9264150943396225,0.9038461538461539,0.937300293587958,0.9266381766381766,0.9257604735313034,0.8638179807085024
GBM,0.9641509433962264,0.9038461538461539,0.9676139732713007,0.9642450142450143,0.963994817178159,0.9318365181401234
KNN,0.8377358490566038,0.7699430199430198,0.8681876462177696,0.838105413105413,0.8340132374134521,0.7054745893609964
MLP,0.7245283018867925,0.6574074074074074,0.7300478723299356,0.7232193732193732,0.7217620574376069,0.45315071013961916
NB,0.7264150943396226,0.6595441595441596,0.7286658707543024,0.7264245014245014,0.7256977528132571,0.45507862350809536
RF,0.9849056603773585,1.0,0.9858237547892721,0.9850427350427349,0.9848854591579344,0.9708648138162491
SVM,0.7452830188679246,0.7165242165242165,0.7475090766448313,0.7454415954415954,0.7448691767325283,0.4929410924463399
xGB,0.969811320754717,0.9423076923076923,0.9725745095962003,0.9699430199430198,0.9697086873491412,0.9425045346968508
