Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.9172757475083056,0.9285714285714286,0.9242237334986696,0.9172077922077921,0.9168237183672405,0.8413811285255044
DT,0.81312292358804,0.8571428571428572,0.8260236757174265,0.8135281385281384,0.811226209590054,0.639333634828865
GBM,0.9337763012181617,1.0,0.939476854667072,0.9339826839826839,0.933419554345231,0.8734178332592151
KNN,0.7841638981173865,0.7857142857142857,0.847390721802916,0.7843073593073593,0.7727610054646861,0.6278786023095233
MLP,0.95265780730897,0.9285714285714286,0.9556333521550913,0.9527056277056276,0.9525561496548451,0.9083277103072135
NB,0.7205426356589147,0.6904761904761905,0.8027157485672666,0.7204545454545455,0.6994371357742609,0.5162897637585944
RF,0.9479512735326688,0.9523809523809523,0.9519084172882801,0.9481601731601732,0.9478247975646802,0.9000557301298227
SVM,0.9739202657807308,1.0,0.9759634387351779,0.974025974025974,0.9738592896987679,0.9499828009659304
xGB,0.9363233665559246,0.9523809523809523,0.9399535275936877,0.9364718614718613,0.9361800312878021,0.8764126014846475
