Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.818121693121693,0.6428571428571428,0.7371183940857854,0.6859307359307358,0.6960697644525853,0.4198660403893363
DT,0.683068783068783,0.4523809523809524,0.5427029237289535,0.5600649350649352,0.5434386385415062,0.1030014275195282
GBM,0.767063492063492,0.47619047619047616,0.6320879953379954,0.585930735930736,0.5843172271367526,0.2105810795130812
KNN,0.7853174603174603,0.5,0.5920940170940171,0.544047619047619,0.5124704491725769,0.16068740084728686
MLP,0.7781746031746032,0.5,0.4382301587301587,0.5214285714285715,0.4669736024844721,0.06
NB,0.5312169312169313,0.5595238095238095,0.6093031437516732,0.6395021645021645,0.519658506616625,0.2463026535477404
RF,0.789021164021164,0.5,0.6972416472416474,0.5845238095238094,0.5804109491657627,0.2575466716755956
SVM,0.8472222222222221,0.5833333333333334,0.9095998445998446,0.6785714285714285,0.7006874968781741,0.5207623252514051
xGB,0.8398148148148147,0.5833333333333334,0.8417988665923449,0.685930735930736,0.7093470001321528,0.49058938847092215
