Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.733862433862434,0.5476190476190476,0.6170433370976849,0.5811688311688312,0.5884847259984748,0.19407261895856331
DT,0.712037037037037,0.511904761904762,0.5854091255807503,0.5837662337662337,0.573362826489425,0.16652227857865667
GBM,0.7559523809523809,0.5833333333333334,0.6618292456335936,0.5573593073593074,0.5571120932464597,0.18670232897227743
KNN,0.7817460317460317,0.5,0.6686324786324787,0.5523809523809523,0.53565995624275,0.1969061424505728
MLP,0.7746031746031745,0.5,0.49705128205128213,0.5251082251082251,0.48044254658385094,0.08597884865007736
NB,0.7092592592592593,0.4285714285714286,0.4470395622895623,0.48354978354978356,0.45401444278590225,-0.05079738077707996
RF,0.7925925925925925,0.47619047619047616,0.6783910256410257,0.598917748917749,0.6018662907654583,0.2745983038626646
SVM,0.7674603174603174,0.5,0.3837301587301587,0.5,0.43417857142857147,0.0
xGB,0.7670634920634921,0.511904761904762,0.6640614928549711,0.5966450216450216,0.6052946910385113,0.2487658594835794
