Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.8321151716500556,0.8333333333333333,0.845498630998631,0.8324675324675324,0.8307816864130826,0.6777261826066231
DT,0.829734219269103,0.9047619047619047,0.8366673309640061,0.8297619047619047,0.8286763584769512,0.6663042675480786
GBM,0.87452934662237,0.8809523809523809,0.8845735858344554,0.8744588744588745,0.8736776616371799,0.7588528279904685
KNN,0.7700442967884829,0.8095238095238095,0.81926825777348,0.77012987012987,0.7598032355156562,0.5862319410020869
MLP,0.8010520487264673,0.9047619047619048,0.80983679188801,0.8014069264069263,0.7998620795565271,0.6111261265834147
NB,0.6487264673311185,0.6666666666666666,0.6623540923945336,0.649025974025974,0.6374301962854478,0.3108975709013484
RF,0.9123477297895903,0.9047619047619048,0.9158446907783292,0.9124458874458876,0.9121842023029995,0.8282726501209021
SVM,0.8671650055370985,0.8809523809523809,0.8782452128668308,0.8673160173160174,0.8661237135353913,0.745393503717479
xGB,0.8910852713178296,0.9047619047619048,0.9012252747252747,0.8911255411255411,0.8903791363538687,0.792222357232408
