Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.8792358803986711,0.9047619047619048,0.8968980029750491,0.8795454545454545,0.8776347450217283,0.7761384023196151
DT,0.9075858250276856,0.9285714285714286,0.9211783216783216,0.9080086580086582,0.9066166990221569,0.8289817308304108
GBM,0.9196013289036544,1.0,0.9289523109740501,0.91991341991342,0.9190450708075044,0.848764730987756
KNN,0.7579180509413067,0.738095238095238,0.7797550061830754,0.7582251082251082,0.753069324855241,0.537320376435056
MLP,0.7843300110741972,0.9285714285714286,0.7903280501751857,0.78495670995671,0.7831370959992136,0.5751917638629831
NB,0.6182724252491695,0.6666666666666666,0.6291419242918621,0.6182900432900433,0.6067512787252853,0.24713225676544376
RF,0.9407530454042081,0.9761904761904762,0.9459320462146549,0.9410173160173161,0.9404917789714184,0.8869057899149755
SVM,0.874141749723145,0.9285714285714286,0.8895712212623976,0.8744588744588745,0.8727782374653905,0.7637575923590242
xGB,0.9194352159468439,0.9761904761904762,0.9270363730472425,0.9195887445887447,0.919068100018649,0.8465708173056583
