Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.7056878306878306,0.683968253968254,0.2687098873348873,0.2822510822510823,0.27156070713878727,0.05137895413262825
DT,0.6107142857142857,0.4720238095238095,0.3200947964564787,0.29972943722943723,0.3003527974335808,0.10241195000669386
GBM,0.7564814814814815,0.7195238095238095,0.29852029914529915,0.2989177489177489,0.2881796506761816,0.15552417628047538
KNN,0.7492063492063493,0.4458333333333333,0.21917877492877494,0.2554112554112554,0.23241377031848817,0.06381543904975936
MLP,0.7157407407407408,0.6187301587301588,0.254692342501553,0.2786796536796537,0.2563922110626551,0.06226602015715017
NB,0.6763227513227513,0.5669841269841269,0.3688870851370852,0.3847402597402597,0.3644241945581991,0.20825362198848357
RF,0.7673280423280422,0.6603968253968253,0.2436075498575499,0.27261904761904765,0.250586644232161,0.07785195073830098
SVM,0.7674603174603174,0.6437301587301587,0.19186507936507935,0.25,0.21708928571428573,0.0
xGB,0.7854497354497354,0.5818253968253968,0.36135594236681196,0.3708874458874459,0.3579297553630912,0.2761921599500181
