Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.7232804232804233,0.39865079365079364,0.19144821402430096,0.2357142857142857,0.21097321680773268,-0.018431876583522633
DT,0.6142857142857143,0.5395238095238095,0.2546054488989272,0.2525974025974026,0.2491445349570704,0.03523728915895159
GBM,0.7378306878306878,0.4969047619047619,0.2717457264957265,0.2816558441558442,0.2701704128305655,0.1024794683656924
KNN,0.7855820105820105,0.5978571428571429,0.32056623931623934,0.3125,0.3027165653495441,0.1671625481705866
MLP,0.7674603174603174,0.6417460317460317,0.19186507936507935,0.25,0.21708928571428573,0.0
NB,0.7564814814814814,0.5,0.21666921041921042,0.25773809523809527,0.23181509625126648,0.0069940921581924985
RF,0.7746031746031745,0.546984126984127,0.2433073870573871,0.2708333333333333,0.24716780648429584,0.05002893016500813
SVM,0.7674603174603174,0.7046825396825397,0.19186507936507935,0.25,0.21708928571428573,0.0
xGB,0.7673280423280422,0.6707142857142857,0.32162393162393166,0.31374458874458877,0.30470124297020684,0.140297496136559
