Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.7001960784313725,0.8837868480725624,0.7620578723342311,0.7003787878787879,0.7042609764005239,0.618535951134916
DT,0.8460364145658262,0.9285714285714286,0.8483480981177255,0.8462121212121211,0.8434496261274502,0.7972026437191301
GBM,0.9620868347338934,0.9971655328798186,0.9644392057218145,0.9621212121212119,0.9614586517220983,0.9505912416615926
KNN,0.8743837535014005,0.9676870748299319,0.894256802979629,0.8743506493506494,0.8585056213797448,0.8449008307571593
MLP,0.90390756302521,0.9964096749811036,0.9085751623266429,0.9040043290043289,0.8999421626525909,0.8753309705041333
NB,0.5746778711484593,0.8544973544973545,0.6664316066559521,0.5745670995670995,0.5738232664762879,0.46343827744602367
RF,0.9774649859943976,0.997732426303855,0.9787183559194428,0.9774891774891774,0.9773410895369204,0.9704583548782916
SVM,0.9489775910364144,0.9962207105064248,0.9523121314072401,0.949025974025974,0.9470717449170449,0.9340767398515272
xGB,0.9632492997198877,0.9994331065759637,0.9657254611330698,0.9632575757575756,0.9623994977575473,0.9522931519410285
