Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.6303221288515406,0.8718820861678005,0.7251817409237955,0.6303571428571427,0.6376483351460205,0.5267717145803253
DT,0.8696078431372548,0.9047619047619048,0.8719152755419749,0.8696969696969697,0.8654983401723164,0.8292666659442794
GBM,0.9870028011204482,1.0,0.9879154358227584,0.9869588744588744,0.9870791127443684,0.9829121758773539
KNN,0.844733893557423,0.9563492063492064,0.8818107099810624,0.8447510822510822,0.8182799220402254,0.8132792803956225
MLP,0.9774789915966385,1.0,0.9786961227178619,0.9775974025974025,0.9772549491537014,0.9705500750060242
NB,0.8957843137254902,0.9900793650793651,0.9124647655775842,0.8957792207792206,0.885673342884704,0.8704418314206022
RF,0.9964425770308123,1.0,0.9965909090909092,0.9964285714285716,0.9964265456608054,0.9953119282514894
SVM,0.9988095238095237,1.0,0.9988636363636363,0.9988095238095237,0.9988088485536017,0.9984313001893342
xGB,0.9928851540616247,1.0,0.9932312252964428,0.9928571428571429,0.9928789311148926,0.9906235752244881
