Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.4631932773109243,0.8293650793650793,0.6744653584765108,0.46358225108225104,0.452044214754311,0.329905347702858
DT,0.9407843137254902,0.9682539682539683,0.9467850537144017,0.9408008658008657,0.9379770171382527,0.9244104023617957
GBM,0.994047619047619,1.0,0.9944169960474308,0.994047619047619,0.9940096942195638,0.9922102995631645
KNN,0.9751120448179271,1.0,0.9770194334650857,0.9751082251082253,0.9745707350814751,0.9677295861140086
MLP,0.9798739495798319,1.0,0.9810688405797101,0.979978354978355,0.9796328660550035,0.9737366501038588
NB,0.8839495798319328,0.9870559334845048,0.9040502567772059,0.8839285714285715,0.8706379954931147,0.8568207923338541
RF,1.0,1.0,1.0,1.0,1.0,1.0
SVM,0.9964285714285716,1.0,0.9965909090909092,0.9964285714285716,0.9964265456608054,0.9952939005680026
xGB,0.9917086834733894,1.0,0.9922430830039526,0.9917748917748919,0.991713342197602,0.9891456083949336
