Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.6981481481481481,0.5883333333333334,0.23979201836810532,0.24999999999999994,0.23899763984308717,-0.009155935283569687
DT,0.6332010582010583,0.46714285714285714,0.29632786846796133,0.30395021645021647,0.29372120388890555,0.113016776741562
GBM,0.7488095238095237,0.6269047619047619,0.24329563049671749,0.27380952380952384,0.25173780914546745,0.127176468422876
KNN,0.7747354497354497,0.6605952380952381,0.2433073870573871,0.275,0.25133447315096247,0.07382094020169576
MLP,0.7674603174603174,0.6308730158730158,0.19186507936507935,0.25,0.21708928571428573,0.0
NB,0.48783068783068784,0.5903571428571428,0.26500180858443245,0.29756493506493503,0.2599998696090028,0.011391302514606015
RF,0.7637566137566136,0.5429761904761905,0.19165140415140414,0.2488095238095238,0.21649088145896656,-0.006677805632941779
SVM,0.7674603174603174,0.7823809523809524,0.19186507936507935,0.25,0.21708928571428573,0.0
xGB,0.7928571428571428,0.6617460317460317,0.424974358974359,0.3744588744588745,0.37857821975537054,0.298265588634652
