Model,Accuracy,AUC-ROC,Precision,Recall,F1,MCC
AdaBoost,0.5388655462184873,0.8703703703703703,0.6866585173207567,0.5392316017316017,0.554065557627168,0.4212083849546936
DT,0.94781512605042,0.9444444444444444,0.9536073274551535,0.9477272727272726,0.9455324300155757,0.9334031548325701
GBM,0.9834173669467787,1.0,0.9843873517786561,0.9834415584415584,0.9833102457194913,0.978289937686091
KNN,0.8885714285714286,0.9841269841269842,0.9050230439850004,0.8885822510822511,0.8764843644801615,0.861557141424103
MLP,0.9063445378151261,0.9926303854875282,0.9086337885092428,0.9064393939393938,0.9031419920202494,0.8778569199457081
NB,0.552156862745098,0.8475056689342404,0.6421502187502858,0.5520562770562771,0.553284106677182,0.42845105781556825
RF,0.9976330532212885,1.0,0.9977272727272727,0.9976731601731602,0.9976460578559273,0.996880912592435
SVM,0.9442717086834733,0.9981103552532123,0.9466534761640599,0.9444264069264069,0.9424891444677075,0.9275231303342162
xGB,0.98812324929972,1.0,0.9888339920948617,0.9881493506493507,0.9880454039720915,0.9844558290524539
