id	filename	md5	size	state
656d9a0e-8b02-41ef-abdb-ed3e59872154	99a17ccf-208a-4233-8738-5fecf2914855.rna_seq.augmented_star_gene_counts.tsv	1b74749bc67f46e7205f1d3f052c3176	4253434	released
798e8937-3d4a-4dea-95c2-3456c087578d	f43b0acc-e89b-4421-ad36-067f80445f4f.rna_seq.augmented_star_gene_counts.tsv	81a5ada009967e49b843ffc2fb9d3436	4219572	released
6b76c1c6-4023-4751-8630-579bb7ef2f48	37c900e7-1b0f-4a10-a011-f8b9a7b2f032.rna_seq.augmented_star_gene_counts.tsv	d8fe1890b4dd787f3531e275c84751b4	4231161	released
b815048a-2698-4199-bf47-39a78757cbfd	fd52cb64-2115-4dbb-872b-5a2dda6207c8.rna_seq.augmented_star_gene_counts.tsv	8b228e8b02d672fc446d7dbf72f0afde	4238931	released
656e67f9-b280-480b-a7a5-444ddf979027	998581d3-8fdc-4f4a-92cd-d98fc0f910bc.rna_seq.augmented_star_gene_counts.tsv	1f3769b29b3ec4ad57298b971c999bf1	4233764	released
ce7345b1-bbb9-4137-bfca-a05e2b71f9b8	44352853-702a-4693-85e9-0160c40089aa.rna_seq.augmented_star_gene_counts.tsv	08df8f3c7ecc4b8385564e7fe7da1b63	4247559	released
553daef5-9cde-42f2-a921-f7f90d087886	ff2ba139-f4fb-43a7-8f9d-4a33c94e0381.rna_seq.augmented_star_gene_counts.tsv	73e061feb1aec6c0876633a0679e0c4e	4224425	released
70f347e4-6cc4-405d-95ce-d6a38f57507e	005d2b9e-722c-40bd-aa5c-bd4e8842cb04.rna_seq.augmented_star_gene_counts.tsv	8d1453d18f705029403adcaa83c4e815	4245760	released
5ee99daf-4603-4eee-9311-71bf350b86ab	c5e68a3a-8343-4021-9efb-16d960f33bca.rna_seq.augmented_star_gene_counts.tsv	2f72fa7a521e8271ea3934b2788356ad	4255896	released
73922e45-6e87-42c3-bb07-0c7cf4691fd3	fb867d17-df3f-428f-a9e4-28ca204be1bf.rna_seq.augmented_star_gene_counts.tsv	5074dbf47a70c34ce9e499dbdbb9eb4b	4236973	released
c71c2f56-7a3c-40dd-8b7e-162a3b975cc9	0163f5ea-d08b-46db-a02e-ff5977658f6b.rna_seq.augmented_star_gene_counts.tsv	72006a5e6af1bc6d49b3ed1c1c8ada35	4218743	released
d4b4f886-afaf-481a-ac22-b1a40799619e	d7120026-c442-4f14-a1be-4883ad46183c.rna_seq.augmented_star_gene_counts.tsv	c8abe9be067efda614e593e5140c5218	4253348	released
6198f623-9da8-40c5-bad3-be774d67f757	02800cc2-cd08-4caf-aa01-ce0bf88ec05c.rna_seq.augmented_star_gene_counts.tsv	45f7cad66e4984fbe0f37feb1ebc7ea9	4220030	released
55c2daae-2f8d-4805-ab70-1eebe7c4ce7f	588e9230-8412-4648-9f87-a6d7676df3b6.rna_seq.augmented_star_gene_counts.tsv	c3a13c657b101e9b94439684b0999caf	4249521	released
e816de3b-fae9-4081-ba8e-a4b9d0c6e046	ba632c2b-9b5a-434b-967a-863d3516fe24.rna_seq.augmented_star_gene_counts.tsv	8530b38c9fa972a7e2ed4aaa8cbdc65a	4255007	released
dfa0ff6f-bcc8-440f-b9a5-c8e24e0f8f4a	7ca13770-549b-48a0-97aa-7af7cb709997.rna_seq.augmented_star_gene_counts.tsv	ccaddbf0a0301b766f18ee06251396b5	4249020	released
cc044407-96e8-4f0d-95e1-b651458893cf	328247b9-0404-48e2-8ee7-2c3afc12af6b.rna_seq.augmented_star_gene_counts.tsv	74686d32c5b111f32a764257631af54f	4211835	released
45fe053e-1dd0-401b-baac-f1e20a5aa1bd	9f470e3e-610b-4caf-b4fe-c171893b2340.rna_seq.augmented_star_gene_counts.tsv	9d5bfacbc6894555f9eb3b3013ed933a	4222514	released
212e7777-5a67-4bf0-880a-cd5cd5374d4b	385803b3-0319-4122-8142-787a5e074007.rna_seq.augmented_star_gene_counts.tsv	c850b807d9fa912c08d2ab302b7001a0	4245581	released
1f3fe4e9-96e6-4393-af42-67be1d39a351	32d75f0d-72c6-4e63-a264-d8ed1506617e.rna_seq.augmented_star_gene_counts.tsv	f6ad206bf8141bf664333dbd289fed6f	4226521	released
b1e5ac31-428f-43aa-bb4e-feafd39a317c	07aa3728-fdc1-40e5-bd97-b9eb055e47e2.rna_seq.augmented_star_gene_counts.tsv	a5acaa376b5410015b809d874ef94d86	4244120	released
7357cc83-fffc-48fb-a7b6-1d1088854061	b42fe747-93c0-4232-b759-01fb998838ea.rna_seq.augmented_star_gene_counts.tsv	20bdf3cb3e28f4c58b9b09b76cf82d94	4235712	released
88097c6d-9276-41ab-adfa-eadb2f3b6fbc	7d7a06a1-ecbd-4236-b85e-c59cf6bc2cf5.rna_seq.augmented_star_gene_counts.tsv	9ac86f6014af5260a538b82bdc0a6565	4245331	released
6ecee80d-54a1-4831-a503-23396f756ca3	2988f270-380b-4bd0-b468-26eb629c58cc.rna_seq.augmented_star_gene_counts.tsv	b53486c761c1a6726d3db84b6fb9e4c5	4259398	released
fe5a3d7d-58c2-4ccb-8235-198c6250a502	8b17c95b-808c-4536-8538-428b73b07fda.rna_seq.augmented_star_gene_counts.tsv	38d3d836a8e6a1db1c74a0f821ec6baf	4241461	released
663453fb-7788-4e0e-8107-70f3fb96f0b9	8d5e6e6b-0005-41d4-8b50-be9066756000.rna_seq.augmented_star_gene_counts.tsv	42bfd0c70a4449f60fd298c3e75b8a6c	4248711	released
143f05b1-fb66-4f24-a2f1-bdb1917d36c2	0d355d6a-83c0-46f0-bfb7-1aff119bb3d7.rna_seq.augmented_star_gene_counts.tsv	7c2f4ed097ea5bb4c9a8c4edd02e63a8	4237288	released
44c71a14-39ef-4616-84ca-ea5494f270aa	505af425-08b6-4c45-bf13-97de304e2b2f.rna_seq.augmented_star_gene_counts.tsv	2b8f2994b6ce2d984c5cf8394d99d246	4249148	released
4a794784-0d1a-4496-882c-292561e9a3a4	3f5c4f2e-70cc-4058-af97-b401273968b1.rna_seq.augmented_star_gene_counts.tsv	7937bf92caffd82496a34710f25e170c	4244536	released
db3ace03-c798-4a80-bc60-a7974166c0b6	25287142-120a-4117-9a31-56d63c3e2865.rna_seq.augmented_star_gene_counts.tsv	7e03a0b645378880f4a9e131c2839e2b	4229604	released
4f8e6a27-d100-438d-9ae0-fc84ca639291	45e2bd4b-9854-4f6f-9062-4ce4a2b4fed9.rna_seq.augmented_star_gene_counts.tsv	26ebf5ce8050d6a4861983bdf1d24c70	4234509	released
